江	Bns	B
量	En	O
“	Sw	O
苯	Sn	O
并	Sc	O
[	Sw	O
a	Sw	O
]	Sw	O
芘	Sw	O
”	Sw	O
并	Sc	O
不	Sd	O
寻	Ba	O
常	Ea	O
，	Sw	O
怀	Bv	O
疑	Ev	O
是	Sv	O
经	Bp	O
过	Ep	O
高	Sa	O
热	Bn	O
处	Mn	O
理	En	O
或	Sc	O
炸	Sv	O
过	Sug	O
食	Bn	O
物	En	O
的	Suj	O
二	Bm	O
手	Em	O
油	Sn	O
。	Sw	O

至	Bp	O
于	Ep	O
问	Bn	O
题	En	O
食	Bn	O
油	En	O
是	Bv	O
否	Ev	O
“	Sw	O
地	Bn	O
沟	Mn	O
油	En	O
”	Sw	O
，	Sw	O
食	Bn	O
物	En	O
及	Sc	O
卫	Bnt	O
生	Mnt	O
局	Ent	O
局	Bn	O
长	En	O
高	Bnr	O
永	Mnr	O
文	Enr	O
表	Bv	O
示	Ev	O
，	Sw	O
仍	Szg	O
要	Sv	O
其	Br	O
它	Er	O
方	Bn	O
法	En	O
配	Bv	O
合	Ev	O
侦	Bv	O
查	Ev	O
。	Sw	O

7	Sw	O
、	Sw	O
酒	Bn	O
精	Mn	O
度	En	O

酒	Bn	O
精	Mn	O
度	En	O
表	Bv	O
示	Ev	O
酒	Sn	O
中	Sf	O
乙	Bn	O
醇	En	O
的	Suj	O
体	Bn	O
积	En	O
与	Sp	O
酒	Sn	O
体	Bn	O
积	En	O
的	Suj	O
百	Bn	O
分	Mn	O
比	En	O
，	Sw	O
酒	Bn	O
精	Mn	O
度	En	O
是	Sv	O
白	Bn	O
酒	En	O
的	Suj	O
一	Bm	O
项	Em	O
品	Bn	O
质	En	O
指	Bn	O
标	En	O
，	Sw	O
控	Bv	O
制	Ev	O
酒	Bn	O
精	Mn	O
度	En	O
对	Bp	O
于	Ep	O
企	Bn	O
业	En	O
来	Bu	O
说	Eu	O
并	Bc	O
非	Ec	O
一	Bm	O
项	Em	O
难	Bn	O
事	En	O
，	Sw	O
标	Bn	O
准	En	O
中	Sf	O
规	Bn	O
定	En	O
酒	Bn	O
精	Mn	O
度	En	O
为	Sp	O
标	Bv	O
示	Ev	O
值	Sn	O
的	Suj	O
±	Sw	O
1	Bm	O
.	Mm	O
0	Em	O
%	Sw	O
v	Beng	O
o	Meng	O
l	Eeng	O
，	Sw	O
实	Bn	O
际	En	O
酒	Bn	O
精	Mn	O
度	En	O
过	Sug	O
高	Sa	O
或	Bc	O
过	Ec	O
低	Sa	O
都	Sd	O
被	Bv	O
判	Ev	O
为	Sp	O
不	Sv	O
合	Bn	O
格	En	O
。	Sw	O

酒	Bn	O
精	Mn	O
度	En	O
过	Sug	O
低	Sa	O
可	Bv	O
能	Ev	O
是	Sv	O
企	Bn	O
业	En	O
为	Bp	O
了	Ep	O
降	Bn	O
低	Mn	O
成	Mn	O
本	En	O
故	Bd	O
意	Ed	O
为	Sp	O
之	Sf	O
，	Sw	O
也	Sd	O
可	Bv	O
能	Ev	O
是	Sv	O
白	Bn	O
酒	En	O
放	Bv	O
置	Ev	O
时	Bn	O
间	En	O
过	Bn	O
长	En	O
，	Sw	O
瓶	Bn	O
盖	En	O
密	Bn	O
闭	Mn	O
性	En	O
不	Bd	O
好	Ed	O
，	Sw	O
酒	Bn	O
精	En	O
部	Bn	O
分	En	O
挥	Bv	O
发	Ev	O
导	Bv	O
致	Ev	O
。	Sw	O

8	Sw	O
、	Sw	O
大	Bn	O
肠	Mn	O
菌	Mn	O
群	En	O

大	Bn	O
肠	Mn	O
菌	Mn	O
群	En	O
是	Sv	O
国	Bs	O
内	Ms	O
外	Es	O
通	Bv	O
用	Ev	O
的	Suj	O
食	Bn	O
品	En	O
污	Bvn	O
染	Evn	O
常	Bb	O
用	Eb	O
指	Bn	O
示	Mn	O
菌	En	O
之	Br	O
一	Er	O
。	Sw	O

食	Bn	O
品	En	O
中	Sf	O
检	Bv	O
出	Ev	O
大	Bn	O
肠	Mn	O
菌	Mn	O
群	En	O
，	Sw	O
提	Bv	O
示	Ev	O
被	Sp	O
致	Bn	O
病	Mn	O
菌	En	O
（	Sw	O
如	Sv	O
沙	Bnr	O
门	Mnr	O
氏	Mnr	O
菌	Enr	O
、	Sw	O
志	Bnr	O
贺	Mnr	O
氏	Enr	O
菌	Sn	O
、	Sw	O
致	Bn	O
病	Mn	O
性	En	O
大	Bl	O
肠	Ml	O
杆	Ml	O
菌	El	O
）	Sw	O
污	Bvn	O
染	Evn	O
的	Suj	O
可	Bn	O
能	Mn	O
性	En	O
较	Ba	O
大	Ea	O
。	Sw	O

大	Bn	O
肠	Mn	O
菌	Mn	O
群	En	O
超	Bv	O
标	Ev	O
可	Bv	O
能	Ev	O
由	Bc	O
于	Ec	O
产	Bn	O
品	En	O
的	Suj	O
加	Bvn	O
工	Evn	O
原	Bn	O
料	En	O
、	Sw	O
包	Bn	O
装	Mn	O
材	Mn	O
料	En	O
受	Sv	O
污	Bvn	O
染	Evn	O
，	Sw	O
或	Sc	O
在	Sp	O
生	Bvn	O
产	Evn	O
过	Bn	O
程	En	O
中	Sf	O
产	Bn	O
品	En	O
受	Sv	O
人	Bn	O
员	En	O
、	Sw	O
工	Sn	O
器	Bn	O
具	En	O
等	Su	O
生	Bvn	O
产	Evn	O
设	Bvn	O
备	Evn	O
、	Sw	O
环	Bn	O
境	En	O
的	Suj	O
污	Bvn	O
染	Evn	O
、	Sw	O
有	Sv	O
灭	Bv	O
菌	Ev	O
工	Bn	O
艺	En	O
的	Suj	O
产	Bn	O
品	En	O
灭	Bv	O
菌	Ev	O
不	Sd	O
彻	Bad	O
底	Ead	O
而	Sc	O
导	Bv	O
致	Ev	O
。	Sw	O

G	Beng	O
B	Eeng	O

2	Bm	O
7	Mm	O
2	Mm	O
6	Em	O
-	Sw	O
2	Bm	O
0	Mm	O
0	Mm	O
5	Em	O
《	Sw	O
熟	Bn	O
肉	Mn	O
制	Mn	O
品	En	O
卫	Bn	O
生	Mn	O
标	Mn	O
准	En	O
》	Sw	O
规	Bn	O
定	En	O
肴	Sg	O
肉	Sn	O
、	Sw	O
酱	Sn	O
卤	Bn	O
肉	En	O
中	Sf	O
大	Bn	O
肠	Mn	O
菌	Mn	O
群	En	O
应	Sv	O
≤	Sw	O
1	Bm	O
5	Mm	O
0	Em	O
M	Beng	O
P	Meng	O
N	Eeng	O
/	Sw	O
1	Bm	O
0	Mm	O
0	Em	O
g	Seng	O
，	Sw	O
如	Bc	O
果	Ec	O
大	Bn	O
肠	Mn	O
菌	Mn	O
群	En	O
超	Bv	O
标	Ev	O
，	Sw	O
则	Sd	O
会	Sv	O
加	Bv	O
速	Ev	O
食	Bn	O
品	En	O
的	Suj	O
腐	Ban	O
败	Ean	O
变	Bn	O
质	En	O
，	Sw	O
食	Bn	O
用	En	O
以	Bf	O
后	Ef	O
容	Ba	O
易	Ea	O
引	Bv	O
起	Ev	O
腹	Bv	O
泻	Ev	O
、	Sw	O
肠	Bn	O
胃	En	O
感	Bv	O
染	Ev	O
等	Su	O
。	Sw	O

9	Sw	O
、	Sw	O
菌	Bn	O
落	En	O
总	Bn	O
数	En	O

菌	Bn	O
落	En	O
总	Bn	O
数	En	O
是	Sv	O
指	Bv	O
示	Ev	O
性	Sn	O
微	Bl	O
生	Ml	O
物	El	O
指	Bn	O
标	En	O
，	Sw	O
并	Bc	O
非	Ec	O
致	Bn	O
病	Mn	O
菌	En	O
指	Bn	O
标	En	O
。	Sw	O

主	Bb	O
要	Eb	O
用	Bv	O
来	Ev	O
评	Bn	O
价	En	O
食	Bn	O
品	En	O
清	Bn	O
洁	Mn	O
度	En	O
，	Sw	O
反	Bv	O
映	Ev	O
食	Bn	O
品	En	O
在	Sp	O
生	Bvn	O
产	Evn	O
过	Bn	O
程	En	O
中	Sf	O
是	Bv	O
否	Ev	O
符	Bn	O
合	Mn	O
卫	Mn	O
生	En	O
要	Bv	O
求	Ev	O
。	Sw	O

菌	Bn	O
落	En	O
总	Bn	O
数	En	O
超	Bv	O
标	Ev	O
说	Bv	O
明	Ev	O
个	Bn	O
别	En	O
企	Bn	O
业	En	O
可	Bv	O
能	Ev	O
未	Sd	O
按	Sp	O
要	Bv	O
求	Ev	O
严	Bn	O
格	Mn	O
控	Mn	O
制	En	O
生	Bvn	O
产	Evn	O
加	Bl	O
工	Ml	O
过	Ml	O
程	El	O
的	Suj	O
卫	Bn	O
生	Mn	O
条	Mn	O
件	En	O
，	Sw	O
或	Bc	O
者	Ec	O
包	Bl	O
装	Ml	O
容	Ml	O
器	El	O
清	Bv	O
洗	Ev	O
消	Bvn	O
毒	Evn	O
不	Sd	O
到	Bv	O
位	Ev	O
；	Sw	O

还	Bv	O
有	Ev	O
可	Bv	O
能	Ev	O
与	Sp	O
产	Bn	O
品	Mn	O
包	Mn	O
装	En	O
密	Bns	O
封	Ens	O
不	Ba	O
严	Ea	O
，	Sw	O
储	Bvn	O
运	Evn	O
条	Bn	O
件	En	O
控	Bv	O
制	Ev	O
不	Bd	O
当	Ed	O
等	Su	O
有	Bvn	O
关	Evn	O
。	Sw	O

G	Beng	O
B	Eeng	O

2	Bm	O
7	Mm	O
2	Mm	O
6	Em	O
-	Sw	O
2	Bm	O
0	Mm	O
0	Mm	O
5	Em	O
《	Sw	O
熟	Bn	O
肉	Mn	O
制	Mn	O
品	En	O
卫	Bn	O
生	Mn	O
标	Mn	O
准	En	O
》	Sw	O
规	Bn	O
定	En	O
肴	Sg	O
肉	Sn	O
中	Sf	O
菌	Bn	O
落	En	O
总	Bn	O
数	En	O
应	Sv	O
≤	Sw	O
5	Bm	O
0	Mm	O
0	Mm	O
0	Mm	O
0	Em	O
c	Beng	O
f	Meng	O
u	Eeng	O
/	Sw	O
g	Sw	O
、	Sw	O
酱	Sn	O
卤	Bn	O
肉	En	O
中	Sf	O
菌	Bn	O
落	En	O
总	Bn	O
数	En	O
应	Sv	O
≤	Sw	O
8	Bm	O
0	Mm	O
0	Mm	O
0	Mm	O
0	Em	O
c	Beng	O
f	Meng	O
u	Eeng	O
/	Sw	O
g	Sw	O
，	Sw	O
如	Bc	O
果	Ec	O
食	Bn	O
品	En	O
中	Sf	O
的	Suj	O
菌	Bn	O
落	En	O
总	Bn	O
数	En	O
严	Ba	O
重	Ea	O
超	Bv	O
标	Ev	O
，	Sw	O
将	Sd	O
会	Sv	O
破	Bv	O
坏	Ev	O
食	Bn	O
品	En	O
的	Suj	O
营	Bl	O
养	Ml	O
成	Ml	O
分	El	O
，	Sw	O
加	Bv	O
速	Ev	O
食	Bn	O
品	En	O
的	Suj	O
腐	Ban	O
败	Ean	O
变	Bn	O
质	En	O
，	Sw	O
使	Sv	O
食	Bn	O
品	En	O
失	Bv	O
去	Ev	O
食	Bn	O
用	En	O
价	Bn	O
值	En	O
。	Sw	O

1	Bm	O
0	Em	O
、	Sw	O
克	Sm	O
伦	Bnr	O
特	Mnr	O
罗	Enr	O

克	Sm	O
伦	Bnr	O
特	Mnr	O
罗	Enr	O
是	Sv	O
β	Sw	O
-	Sw	O
兴	Bn	O
奋	Mn	O
剂	En	O
的	Suj	O
一	Bm	O
种	Em	O
，	Sw	O
可	Sv	O
促	Bv	O
进	Ev	O
动	Bn	O
物	Mn	O
体	En	O
蛋	Bn	O
白	Mn	O
质	En	O
沉	Bn	O
积	En	O
、	Sw	O
促	Bv	O
进	Ev	O
脂	Bn	O
肪	En	O
分	Bv	O
解	Ev	O
抑	Bv	O
制	Ev	O
脂	Bn	O
肪	En	O
沉	Bn	O
积	En	O
，	Sw	O
能	Sv	O
提	Bv	O
高	Ev	O
胴	Bn	O
体	En	O
的	Suj	O
瘦	Bnz	O
肉	Mnz	O
率	Enz	O
，	Sw	O
增	Bv	O
重	Ev	O
和	Sc	O
提	Bv	O
高	Ev	O
饲	Bn	O
料	En	O
转	Bn	O
化	Mn	O
率	En	O
。	Sw	O

整	Bm	O
顿	Em	O
办	Bn	O
函	En	O
[	Sw	O
2	Bm	O
0	Mm	O
1	Mm	O
0	Em	O
]	Sw	O

5	Bm	O
0	Em	O

号	Sm	O
《	Sw	O
关	Bp	O
于	Ep	O
印	Bnz	O
发	Enz	O
食	Bn	O
品	En	O
中	Sf	O
可	Bv	O
能	Ev	O
违	Bvn	O
法	Evn	O
添	Bv	O
加	Ev	O
的	Suj	O
非	Sh	O
食	Bn	O
用	En	O
物	Bn	O
质	En	O
和	Sc	O
易	Sa	O
滥	Bv	O
用	Ev	O
的	Suj	O
食	Bn	O
品	En	O
添	Bn	O
加	Mn	O
剂	En	O
名	Bn	O
单	En	O
（	Sw	O
第	Bm	O
四	Mm	O
批	Em	O
）	Sw	O
的	Suj	O
通	Bv	O
知	Ev	O
》	Sw	O
规	Bn	O
定	En	O
，	Sw	O
克	Sm	O
伦	Bnr	O
特	Mnr	O
罗	Enr	O
不	Bv	O
得	Ev	O
在	Sp	O
猪	Bn	O
肉	En	O
、	Sw	O
牛	Bnr	O
羊	Mnr	O
肉	Enr	O
及	Sc	O
肝	Bn	O
脏	En	O
等	Su	O
使	Bv	O
用	Ev	O
。	Sw	O

长	Bd	O
期	Ed	O
食	Bn	O
用	En	O
残	Bv	O
留	Ev	O
克	Sm	O
伦	Bnr	O
特	Mnr	O
罗	Enr	O
的	Suj	O
动	Bn	O
物	Mn	O
性	En	O
食	Bn	O
品	En	O
，	Sw	O
有	Sv	O
可	Bv	O
能	Ev	O
引	Bv	O
起	Ev	O
人	Bn	O
体	En	O
四	Bn	O
肢	En	O
、	Sw	O
面	Sn	O
、	Sw	O
颈	Bn	O
部	En	O
骨	Bn	O
骼	Mn	O
肌	En	O
震	Bv	O
颤	Ev	O
，	Sw	O
内	Bn	O
分	Mn	O
泌	En	O
紊	Ba	O
乱	Ea	O
。	Sw	O

1	Bm	O
1	Em	O
、	Sw	O
莱	Bnrt	O
克	Enrt	O
多	Bnz	O
巴	Mnz	O
胺	Enz	O

莱	Bnrt	O
克	Enrt	O
多	Bnz	O
巴	Mnz	O
胺	Enz	O
是	Sv	O
一	Bm	O
种	Em	O
人	Bl	O
工	Ml	O
合	Ml	O
成	El	O
的	Suj	O
β	Sw	O
-	Sw	O
肾	Bl	O
上	Ml	O
腺	El	O
受	Bn	O
体	En	O
激	Bn	O
动	Mn	O
剂	En	O
（	Sw	O
俗	Bv	O
称	Ev	O
β	Sw	O
-	Sw	O
兴	Bn	O
奋	Mn	O
剂	En	O
）	Sw	O
类	Bn	O
化	Mn	O
合	Mn	O
物	En	O
，	Sw	O
属	Bv	O
于	Ev	O
第	Bm	O
二	Mm	O
代	Em	O
瘦	Bnz	O
肉	Mnz	O
精	Enz	O
。	Sw	O

整	Bm	O
顿	Em	O
办	Bn	O
函	En	O
[	Sw	O
2	Bm	O
0	Mm	O
1	Mm	O
0	Em	O
]	Sw	O

5	Bm	O
0	Em	O

号	Sm	O
《	Sw	O
关	Bp	O
于	Ep	O
印	Bnz	O
发	Enz	O
食	Bn	O
品	En	O
中	Sf	O
可	Bv	O
能	Ev	O
违	Bvn	O
法	Evn	O
添	Bv	O
加	Ev	O
的	Suj	O
非	Sh	O
食	Bn	O
用	En	O
物	Bn	O
质	En	O
和	Sc	O
易	Sa	O
滥	Bv	O
用	Ev	O
的	Suj	O
食	Bn	O
品	En	O
添	Bn	O
加	Mn	O
剂	En	O
名	Bn	O
单	En	O
（	Sw	O
第	Bm	O
四	Mm	O
批	Em	O
）	Sw	O
的	Suj	O
通	Bv	O
知	Ev	O
》	Sw	O
规	Bn	O
定	En	O
，	Sw	O
克	Sm	O
伦	Bnr	O
特	Mnr	O
罗	Enr	O
不	Bv	O
得	Ev	O
在	Sp	O
猪	Bn	O
肉	En	O
、	Sw	O
牛	Bnr	O
羊	Mnr	O
肉	Enr	O
及	Sc	O
肝	Bn	O
脏	En	O
等	Su	O
使	Bv	O
用	Ev	O
。	Sw	O

过	Bn	O
量	En	O
摄	Bv	O
入	Ev	O
莱	Bnrt	O
克	Enrt	O
多	Bnz	O
巴	Mnz	O
胺	Enz	O
，	Sw	O
人	Sn	O
体	Bn	O
会	En	O
出	Bv	O
现	Ev	O
不	Ba	O
同	Ea	O
程	Bn	O
度	En	O
的	Suj	O
中	Bnz	O
毒	Enz	O
反	Bvn	O
应	Evn	O
，	Sw	O
其	Sr	O
症	Bn	O
状	En	O
与	Sp	O
动	Bn	O
物	En	O
中	Bnz	O
毒	Enz	O
症	Bn	O
状	En	O
相	Bv	O
似	Ev	O
，	Sw	O
表	Bv	O
现	Ev	O
为	Sp	O
肌	Bn	O
肉	En	O
震	Bv	O
颤	Ev	O
、	Sw	O
四	Bn	O
肢	En	O
麻	Bv	O
痹	Ev	O
、	Sw	O
心	Bn	O
动	Mn	O
过	Mn	O
速	En	O
、	Sw	O
心	Bi	O
律	Mi	O
失	Mi	O
常	Ei	O
、	Sw	O
腹	Bn	O
痛	En	O
、	Sw	O
肌	Bn	O
肉	En	O
疼	Bn	O
痛	En	O
、	Sw	O
恶	Bn	O
心	En	O
眩	Bv	O
晕	Ev	O
等	Su	O
症	Bn	O
状	En	O
，	Sw	O
重	Bn	O
者	En	O
可	Sv	O
引	Bv	O
发	Ev	O
高	Bn	O
血	Mn	O
压	En	O
、	Sw	O
心	Bn	O
脏	Mn	O
病	En	O
甚	Bd	O
至	Ed	O
死	Bv	O
亡	Ev	O
。	Sw	O

以	Bf	O
上	Ef	O
产	Bn	O
品	En	O
抽	Bv	O
检	Ev	O
信	Bn	O
息	En	O
可	Sv	O
在	Sp	O
江	Bns	B
苏	Mns	I
省	Ens	I
食	Bn	I
品	En	I
药	Bnt	I
品	Mnt	I
监	Mnt	I
督	Mnt	I
管	Mnt	I
理	Mnt	I
局	Ent	E
网	Bn	O
站	En	O
上	Sf	O
（	Sw	O
h	Beng	O
t	Meng	O
t	Meng	O
p	Eeng	O
:	Sw	O
/	Sw	O
/	Sw	O
w	Beng	O
w	Meng	O
w	Eeng	O
.	Sm	O
j	Beng	O
s	Meng	O
f	Meng	O
d	Meng	O
a	Eeng	O
.	Sm	O
g	Beng	O
o	Meng	O
v	Eeng	O
.	Sm	O
c	Beng	O
n	Eeng	O
/	Sw	O
z	Beng	O
t	Meng	O
z	Meng	O
l	Eeng	O
/	Sw	O
z	Beng	O
x	Meng	O
z	Meng	O
t	Eeng	O
/	Sw	O
s	Beng	O
p	Meng	O
c	Meng	O
y	Meng	O
c	Meng	O
j	Meng	O
x	Meng	O
x	Eeng	O
/	Sw	O
）	Sw	O
进	Bv	O
行	Ev	O
查	Bv	O
询	Ev	O
。	Sw	O

针	Bp	O
对	Ep	O
不	Sd	O
合	Bn	O
格	En	O
产	Bn	O
品	En	O
省	Bn	O
局	En	O
已	Sd	O
要	Bv	O
求	Ev	O
各	Br	O
市	Er	O
县	Bb	O
级	Eb	O
局	Sn	O
依	Bn	O
法	En	O
依	Sv	O
规	Sn	O
进	Bv	O
行	Ev	O
查	Bv	O
处	Ev	O
。	Sw	O

特	Bd	O
此	Ed	O
公	Bn	O
告	En	O

