湖	Bns	B
药	Bn	O
品	En	O
监	Bvn	O
督	Evn	O
检	Bvn	O
验	Evn	O
研	Bn	O
究	Mn	O
院	En	O
。	Sw	O

三	Sm	O
、	Sw	O
对	Sp	O
抽	Bv	O
检	Ev	O
中	Sf	O
发	Bv	O
现	Ev	O
的	Suj	O
不	Sa	O
合	Bn	O
格	En	O
产	Bn	O
品	En	O
，	Sw	O
湖	Bns	O
北	Mns	O
省	Ens	O
食	Bn	O
品	Mn	O
药	Mn	O
品	En	O
监	Bn	O
管	Mn	O
局	En	O
已	Sd	O
要	Bv	O
求	Ev	O
武	Bns	O
汉	Ens	O
、	Sw	O
黄	Bnr	O
石	Enr	O
、	Sw	O
襄	Bns	O
阳	Ens	O
、	Sw	O
荆	Bns	O
州	Ens	O
、	Sw	O
荆	Bns	O
门	Ens	O
、	Sw	O
黄	Bns	O
冈	Ens	O
、	Sw	O
咸	Bns	O
宁	Ens	O
和	Sc	O
仙	Bn	O
桃	En	O
食	Bn	O
品	Mn	O
药	Mn	O
品	En	O
监	Bn	O
管	Mn	O
部	Mn	O
门	En	O
按	Bp	O
照	Ep	O
《	Sw	O
中	Bns	O
华	Mns	O
人	Mns	O
民	Mns	O
共	Mns	O
和	Mns	O
国	Ens	O

食	Bn	O
品	En	O
安	Bnr	O
全	Mnr	O
法	Enr	O
》	Sw	O
的	Suj	O
规	Bn	O
定	En	O
，	Sw	O
督	Bv	O
促	Ev	O
生	Bn	O
产	Mn	O
经	Mn	O
营	Mn	O
者	En	O
立	Bd	O
即	Ed	O
封	Bv	O
存	Ev	O
、	Sw	O
下	Bv	O
架	Ev	O
和	Sc	O
召	Bv	O
回	Ev	O
不	Sd	O
合	Bn	O
格	En	O
产	Bn	O
品	En	O
，	Sw	O
并	Bd	O
对	Ed	O
不	Sd	O
合	Bn	O
格	En	O
产	Bn	O
品	En	O
的	Suj	O
生	Bn	O
产	Mn	O
经	Mn	O
营	Mn	O
者	En	O
进	Bd	O
一	Md	O
步	Ed	O
调	Bvn	O
查	Evn	O
处	Bv	O
理	Ev	O
，	Sw	O
查	Bnr	O
明	Enr	O
不	Sd	O
合	Bn	O
格	En	O
产	Bn	O
品	En	O
的	Suj	O
批	Bd	O
次	Ed	O
、	Sw	O
数	Bn	O
量	En	O
和	Sc	O
原	Bn	O
因	En	O
，	Sw	O
制	Bv	O
定	Ev	O
整	Bn	O
改	Mn	O
措	Mn	O
施	En	O
。	Sw	O

附	Bn	O
件	En	O
：	Sw	O

2	Bm	O
0	Mm	O
1	Mm	O
7	Em	O
年	Sm	O
7	Sm	O
月	Sm	O
2	Bm	O
7	Em	O
日	Sm	O

