海	Bs	O
乐	Bn	O
果	En	O
、	Sw	O
多	Bn	O
菌	Mn	O
灵	En	O
、	Sw	O
克	Sm	O
百	Bn	O
威	En	O
、	Sw	O
氯	Bnz	O
氰	Enz	O
菊	Bn	O
酯	En	O
和	Sc	O
高	Ba	O
效	Ea	O
氯	Bnz	O
氰	Enz	O
菊	Bn	O
酯	En	O
、	Sw	O
甲	Sn	O
拌	Sv	O
磷	Sn	O
、	Sw	O
甲	Bnz	O
胺	Mnz	O
磷	Enz	O

合	Bn	O
格	En	O

/	Sw	O

2	Bm	O
0	Em	O

S	Beng	O
P	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
5	Meng	O
3	Meng	O
0	Eeng	O

西	Bnr	O
红	Mnr	O
柿	Enr	O

N	Beng	O
C	Meng	O
P	Meng	O
6	Meng	O
3	Meng	O
2	Meng	O
2	Meng	O
0	Meng	O
0	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
3	Meng	O
7	Meng	O
7	Eeng	O

门	Bn	B
源	En	I
县	Szg	I
东	Bns	I
川	Ens	I
延	Bns	I
庆	Ens	I
蔬	Bn	I
菜	En	I
瓜	Bn	I
果	En	I
店	Sn	E

1	Bm	O
5	Mm	O
8	Mm	O
9	Mm	O
7	Mm	O
0	Mm	O
0	Mm	O
8	Mm	O
8	Mm	O
1	Mm	O
2	Em	O

氯	Bnz	O
氟	Mnz	O
氰	Enz	O
菊	Bn	O
酯	En	O
和	Sc	O
高	Ba	O
效	Ea	O
氯	Bnz	O
氟	Mnz	O
氰	Enz	O
菊	Bn	O
酯	En	O
、	Sw	O
苯	Bn	O
醚	En	O
甲	Bnz	O
环	Mnz	O
唑	Enz	O
、	Sw	O
甲	Sn	O
氨	Bn	O
基	En	O
阿	Bnz	O
维	Mnz	O
菌	Mnz	O
素	Enz	O
苯	Bnz	O
甲	Mnz	O
酸	Enz	O
盐	Sn	O
、	Sw	O
氧	Sn	O
乐	Bn	O
果	En	O
、	Sw	O
毒	Bn	O
死	En	O
蜱	Sg	O

合	Bn	O
格	En	O

/	Sw	O

2	Bm	O
1	Em	O

S	Beng	O
P	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
5	Meng	O
3	Meng	O
1	Eeng	O

鸡	Bn	O
蛋	En	O

N	Beng	O
C	Meng	O
P	Meng	O
6	Meng	O
3	Meng	O
2	Meng	O
2	Meng	O
0	Meng	O
0	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
3	Meng	O
7	Meng	O
8	Eeng	O

门	Bn	B
源	En	I
县	Szg	I
东	Bns	I
川	Ens	I
延	Bns	I
庆	Ens	I
蔬	Bn	I
菜	En	I
瓜	Bn	I
果	En	I
店	Sn	E

1	Bm	O
5	Mm	O
8	Mm	O
9	Mm	O
7	Mm	O
0	Mm	O
0	Mm	O
8	Mm	O
8	Mm	O
1	Mm	O
2	Em	O

铅	Sn	O
、	Sw	O
总	Sb	O
砷	Sn	O
、	Sw	O
总	Sb	O
汞	Sn	O
、	Sw	O
七	Bnz	O
氯	Enz	O
、	Sw	O
艾	Bnr	O
氏	Enr	O
剂	Sng	O
、	Sw	O
狄	Bnr	O
氏	Enr	O
剂	Sng	O

合	Bn	O
格	En	O

/	Sw	O

2	Bm	O
2	Em	O

S	Beng	O
P	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
5	Meng	O
3	Meng	O
2	Eeng	O

红	Bn	O
菜	Mn	O
椒	En	O

N	Beng	O
C	Meng	O
P	Meng	O
6	Meng	O
3	Meng	O
2	Meng	O
2	Meng	O
0	Meng	O
0	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
3	Meng	O
7	Meng	O
9	Eeng	O

门	Bn	B
源	En	I
县	Szg	I
东	Bns	I
川	Ens	I
占	Sv	I
花	Sv	I
蔬	Bn	I
菜	En	I
瓜	Bn	I
果	En	I
批	Bn	I
发	Mn	I
部	En	E

1	Bm	O
3	Mm	O
9	Mm	O
9	Mm	O
7	Mm	O
4	Mm	O
0	Mm	O
1	Mm	O
1	Mm	O
9	Mm	O
2	Em	O

甲	Bnz	O
胺	Mnz	O
磷	Enz	O
、	Sw	O
氧	Sn	O
乐	Bn	O
果	En	O
、	Sw	O
克	Sm	O
百	Bn	O
威	En	O

合	Bn	O
格	En	O

/	Sw	O

2	Bm	O
3	Em	O

S	Beng	O
P	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
5	Meng	O
3	Meng	O
3	Eeng	O

茄	Bn	O
子	En	O

N	Beng	O
C	Meng	O
P	Meng	O
6	Meng	O
3	Meng	O
2	Meng	O
2	Meng	O
0	Meng	O
0	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
3	Meng	O
8	Meng	O
0	Eeng	O

门	Bn	B
源	En	I
县	Szg	I
东	Bns	I
川	Ens	I
占	Sv	I
花	Sv	I
蔬	Bn	I
菜	En	I
瓜	Bn	I
果	En	I
批	Bn	I
发	Mn	I
部	En	E

1	Bm	O
3	Mm	O
9	Mm	O
9	Mm	O
7	Mm	O
4	Mm	O
0	Mm	O
1	Mm	O
1	Mm	O
9	Mm	O
2	Em	O

克	Sm	O
百	Bn	O
威	En	O
、	Sw	O
氧	Sn	O
乐	Bn	O
果	En	O
、	Sw	O
甲	Bnz	O
胺	Mnz	O
磷	Enz	O

合	Bn	O
格	En	O

/	Sw	O

2	Bm	O
4	Em	O

S	Beng	O
P	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
5	Meng	O
3	Meng	O
4	Eeng	O

西	Bnr	O
红	Mnr	O
柿	Enr	O

N	Beng	O
C	Meng	O
P	Meng	O
6	Meng	O
3	Meng	O
2	Meng	O
2	Meng	O
0	Meng	O
0	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
3	Meng	O
8	Meng	O
1	Eeng	O

门	Bn	B
源	En	I
县	Szg	I
东	Bns	I
川	Ens	I
占	Sv	I
花	Sv	I
蔬	Bn	I
菜	En	I
瓜	Bn	I
果	En	I
批	Bn	I
发	Mn	I
部	En	E

1	Bm	O
3	Mm	O
9	Mm	O
9	Mm	O
7	Mm	O
4	Mm	O
0	Mm	O
1	Mm	O
1	Mm	O
9	Mm	O
2	Em	O

氯	Bnz	O
氟	Mnz	O
氰	Enz	O
菊	Bn	O
酯	En	O
和	Sc	O
高	Ba	O
效	Ea	O
氯	Bnz	O
氟	Mnz	O
氰	Enz	O
菊	Bn	O
酯	En	O
、	Sw	O
苯	Bn	O
醚	En	O
甲	Bnz	O
环	Mnz	O
唑	Enz	O
、	Sw	O
甲	Sn	O
氨	Bn	O
基	En	O
阿	Bnz	O
维	Mnz	O
菌	Mnz	O
素	Enz	O
苯	Bnz	O
甲	Mnz	O
酸	Enz	O
盐	Sn	O
、	Sw	O
氧	Sn	O
乐	Bn	O
果	En	O
、	Sw	O
毒	Bn	O
死	En	O
蜱	Sg	O

合	Bn	O
格	En	O

/	Sw	O

2	Bm	O
5	Em	O

S	Beng	O
P	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
5	Meng	O
3	Meng	O
5	Eeng	O

大	Bn	O
白	Mn	O
菜	En	O

N	Beng	O
C	Meng	O
P	Meng	O
6	Meng	O
3	Meng	O
2	Meng	O
2	Meng	O
0	Meng	O
0	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
3	Meng	O
8	Meng	O
2	Eeng	O

门	Bn	B
源	En	I
县	Szg	I
东	Bns	I
川	Ens	I
占	Sv	I
花	Sv	I
蔬	Bn	I
菜	En	I
瓜	Bn	I
果	En	I
批	Bn	I
发	Mn	I
部	En	E

1	Bm	O
3	Mm	O
9	Mm	O
9	Mm	O
7	Mm	O
4	Mm	O
0	Mm	O
1	Mm	O
1	Mm	O
9	Mm	O
2	Em	O

毒	Bn	O
死	En	O
蜱	Sg	O
、	Sw	O
克	Sm	O
百	Bn	O
威	En	O
、	Sw	O
氧	Sn	O
乐	Bn	O
果	En	O
、	Sw	O
甲	Bnz	O
基	Enz	O
异	Svg	O
柳	Sn	O
磷	Sn	O
、	Sw	O
阿	Bnz	O
维	Mnz	O
菌	Mnz	O
素	Enz	O
、	Sw	O
啶	Sw	O
虫	Sn	O
脒	Sg	O
、	Sw	O
氟	Bnz	O
虫	Enz	O
腈	Sn	O
、	Sw	O
甲	Bnz	O
胺	Mnz	O
磷	Enz	O
、	Sw	O
甲	Bnz	O
基	Mnz	O
对	Mnz	O
硫	Mnz	O
磷	Enz	O
、	Sw	O

合	Bn	O
格	En	O

/	Sw	O

2	Bm	O
6	Em	O

S	Beng	O
P	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
5	Meng	O
3	Meng	O
6	Eeng	O

夹	Bn	O
豆	En	O

N	Beng	O
C	Meng	O
P	Meng	O
6	Meng	O
3	Meng	O
2	Meng	O
2	Meng	O
0	Meng	O
0	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
3	Meng	O
8	Meng	O
3	Eeng	O

门	Bn	B
源	En	I
县	Szg	I
东	Bns	I
川	Ens	I
占	Sv	I
花	Sv	I
蔬	Bn	I
菜	En	I
瓜	Bn	I
果	En	I
批	Bn	I
发	Mn	I
部	En	E

1	Bm	O
3	Mm	O
9	Mm	O
9	Mm	O
7	Mm	O
4	Mm	O
0	Mm	O
1	Mm	O
1	Mm	O
9	Mm	O
2	Em	O

阿	Bnz	O
维	Mnz	O
菌	Mnz	O
素	Enz	O
、	Sw	O
氧	Sn	O
乐	Bn	O
果	En	O
、	Sw	O
克	Sm	O
百	Bn	O
威	En	O
、	Sw	O
氯	Bnz	O
氰	Enz	O
菊	Bn	O
酯	En	O
和	Sc	O
高	Ba	O
效	Ea	O
氯	Bnz	O
氰	Enz	O
菊	Bn	O
酯	En	O
、	Sw	O
乐	Bn	O
果	En	O

合	Bn	O
格	En	O

/	Sw	O

2	Bm	O
7	Em	O

S	Beng	O
P	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
5	Meng	O
3	Meng	O
7	Eeng	O

小	Bb	O
葱	Eb	O

N	Beng	O
C	Meng	O
P	Meng	O
6	Meng	O
3	Meng	O
2	Meng	O
2	Meng	O
0	Meng	O
0	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
3	Meng	O
8	Meng	O
4	Eeng	O

门	Bn	B
源	En	I
县	Szg	I
东	Bns	I
川	Ens	I
占	Sv	I
花	Sv	I
蔬	Bn	I
菜	En	I
瓜	Bn	I
果	En	I
批	Bn	I
发	Mn	I
部	En	E

1	Bm	O
3	Mm	O
9	Mm	O
9	Mm	O
7	Mm	O
4	Mm	O
0	Mm	O
1	Mm	O
1	Mm	O
9	Mm	O
2	Em	O

腐	Ba	O
霉	Ea	O
利	Sn	O
、	Sw	O
毒	Bn	O
死	En	O
蜱	Sg	O
、	Sw	O
氧	Sn	O
乐	Bn	O
果	En	O
、	Sw	O
多	Bn	O
菌	Mn	O
灵	En	O
、	Sw	O
克	Sm	O
百	Bn	O
威	En	O
、	Sw	O
氯	Bnz	O
氰	Enz	O
菊	Bn	O
酯	En	O
和	Sc	O
高	Ba	O
效	Ea	O
氯	Bnz	O
氰	Enz	O
菊	Bn	O
酯	En	O
、	Sw	O
甲	Sn	O
拌	Sv	O
磷	Sn	O
、	Sw	O
甲	Bnz	O
胺	Mnz	O
磷	Enz	O

合	Bn	O
格	En	O

/	Sw	O

2	Bm	O
8	Em	O

S	Beng	O
P	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
5	Meng	O
3	Meng	O
8	Eeng	O

菠	Bn	O
菜	En	O

N	Beng	O
C	Meng	O
P	Meng	O
6	Meng	O
3	Meng	O
2	Meng	O
2	Meng	O
0	Meng	O
0	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
3	Meng	O
8	Meng	O
5	Eeng	O

门	Bn	B
源	En	I
县	Szg	I
东	Bns	I
川	Ens	I
占	Sv	I
花	Sv	I
蔬	Bn	I
菜	En	I
瓜	Bn	I
果	En	I
批	Bn	I
发	Mn	I
部	En	E

1	Bm	O
3	Mm	O
9	Mm	O
9	Mm	O
7	Mm	O
4	Mm	O
0	Mm	O
1	Mm	O
1	Mm	O
9	Mm	O
2	Em	O

阿	Bnz	O
维	Mnz	O
菌	Mnz	O
素	Enz	O
、	Sw	O
氧	Sn	O
乐	Bn	O
果	En	O
、	Sw	O
毒	Bn	O
死	En	O
蜱	Sg	O
、	Sw	O
克	Sm	O
百	Bn	O
威	En	O
、	Sw	O
对	Bnz	O
硫	Mnz	O
磷	Enz	O

合	Bn	O
格	En	O

/	Sw	O

2	Bm	O
9	Em	O

S	Beng	O
P	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
5	Meng	O
3	Meng	O
9	Eeng	O

红	Bn	O
尖	Mn	O
椒	En	O

N	Beng	O
C	Meng	O
P	Meng	O
6	Meng	O
3	Meng	O
2	Meng	O
2	Meng	O
0	Meng	O
0	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
3	Meng	O
8	Meng	O
6	Eeng	O

门	Bn	B
源	En	I
县	Szg	I
东	Bns	I
川	Ens	I
占	Sv	I
花	Sv	I
蔬	Bn	I
菜	En	I
瓜	Bn	I
果	En	I
批	Bn	I
发	Mn	I
部	En	E

1	Bm	O
3	Mm	O
9	Mm	O
9	Mm	O
7	Mm	O
4	Mm	O
0	Mm	O
1	Mm	O
1	Mm	O
9	Mm	O
2	Em	O

甲	Bnz	O
胺	Mnz	O
磷	Enz	O
、	Sw	O
氧	Sn	O
乐	Bn	O
果	En	O
、	Sw	O
克	Sm	O
百	Bn	O
威	En	O

合	Bn	O
格	En	O

/	Sw	O

3	Bm	O
0	Em	O

S	Beng	O
P	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
5	Meng	O
4	Meng	O
0	Eeng	O

尖	Bn	O
椒	En	O

N	Beng	O
C	Meng	O
P	Meng	O
6	Meng	O
3	Meng	O
2	Meng	O
2	Meng	O
0	Meng	O
0	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
3	Meng	O
8	Meng	O
7	Eeng	O

门	Bn	B
源	En	I
县	Szg	I
东	Bns	I
川	Ens	I
占	Sv	I
花	Sv	I
蔬	Bn	I
菜	En	I
瓜	Bn	I
果	En	I
批	Bn	I
发	Mn	I
部	En	E

1	Bm	O
3	Mm	O
9	Mm	O
9	Mm	O
7	Mm	O
4	Mm	O
0	Mm	O
1	Mm	O
1	Mm	O
9	Mm	O
2	Em	O

甲	Bnz	O
胺	Mnz	O
磷	Enz	O
、	Sw	O
氧	Sn	O
乐	Bn	O
果	En	O
、	Sw	O
克	Sm	O
百	Bn	O
威	En	O

合	Bn	O
格	En	O

/	Sw	O

3	Bm	O
1	Em	O

S	Beng	O
P	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
5	Meng	O
4	Meng	O
1	Eeng	O

杏	Bv	O
鲍	Mv	O
菇	Ev	O

N	Beng	O
C	Meng	O
P	Meng	O
6	Meng	O
3	Meng	O
2	Meng	O
2	Meng	O
0	Meng	O
0	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
3	Meng	O
8	Meng	O
8	Eeng	O

门	Bn	B
源	En	I
县	Szg	I
东	Bns	I
川	Ens	I
占	Sv	I
花	Sv	I
蔬	Bn	I
菜	En	I
瓜	Bn	I
果	En	I
批	Bn	I
发	Mn	I
部	En	E

1	Bm	O
3	Mm	O
9	Mm	O
9	Mm	O
7	Mm	O
4	Mm	O
0	Mm	O
1	Mm	O
1	Mm	O
9	Mm	O
2	Em	O

荧	Bn	O
光	En	O
增	Bv	O
白	Ev	O
物	Bn	O
质	En	O
、	Sw	O
甲	Bnz	O
胺	Mnz	O
磷	Enz	O
、	Sw	O
甲	Bnz	O
基	Mnz	O
对	Mnz	O
硫	Mnz	O
磷	Enz	O
、	Sw	O
杀	Sv	O
扑	Sv	O
磷	Sn	O
、	Sw	O
氧	Sn	O
乐	Bn	O
果	En	O
、	Sw	O
乐	Bn	O
果	En	O
、	Sw	O
氯	Sn	O
菊	Bn	O
酯	En	O
、	Sw	O
溴	Bnz	O
氰	Mnz	O
菊	Mnz	O
酯	Enz	O
、	Sw	O
六	Bm	O
六	Mm	O
六	Em	O
、	Sw	O
滴	Bi	O
滴	Mi	O
涕	Ei	O

合	Bn	O
格	En	O

/	Sw	O

3	Bm	O
2	Em	O

S	Beng	O
P	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
5	Meng	O
4	Meng	O
2	Eeng	O

金	Bn	O
针	Mn	O
菇	En	O

N	Beng	O
C	Meng	O
P	Meng	O
6	Meng	O
3	Meng	O
2	Meng	O
2	Meng	O
0	Meng	O
0	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
3	Meng	O
8	Meng	O
9	Eeng	O

门	Bn	B
源	En	I
县	Szg	I
东	Bns	I
川	Ens	I
占	Sv	I
花	Sv	I
蔬	Bn	I
菜	En	I
瓜	Bn	I
果	En	I
批	Bn	I
发	Mn	I
部	En	E

1	Bm	O
3	Mm	O
9	Mm	O
9	Mm	O
7	Mm	O
4	Mm	O
0	Mm	O
1	Mm	O
1	Mm	O
9	Mm	O
2	Em	O

荧	Bn	O
光	En	O
增	Bv	O
白	Ev	O
物	Bn	O
质	En	O
、	Sw	O
甲	Bnz	O
胺	Mnz	O
磷	Enz	O
、	Sw	O
甲	Bnz	O
基	Mnz	O
对	Mnz	O
硫	Mnz	O
磷	Enz	O
、	Sw	O
杀	Sv	O
扑	Sv	O
磷	Sn	O
、	Sw	O
氧	Sn	O
乐	Bn	O
果	En	O
、	Sw	O
乐	Bn	O
果	En	O
、	Sw	O
氯	Sn	O
菊	Bn	O
酯	En	O
、	Sw	O
溴	Bnz	O
氰	Mnz	O
菊	Mnz	O
酯	Enz	O
、	Sw	O
六	Bm	O
六	Mm	O
六	Em	O
、	Sw	O
滴	Bi	O
滴	Mi	O
涕	Ei	O

合	Bn	O
格	En	O

/	Sw	O

3	Bm	O
3	Em	O

S	Beng	O
P	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
5	Meng	O
4	Meng	O
3	Eeng	O

陇	Bnz	O
豆	Enz	O

N	Beng	O
C	Meng	O
P	Meng	O
6	Meng	O
3	Meng	O
2	Meng	O
2	Meng	O
0	Meng	O
0	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
3	Meng	O
9	Meng	O
0	Eeng	O

门	Bn	B
源	En	I
县	Szg	I
东	Bns	I
川	Ens	I
占	Sv	I
花	Sv	I
蔬	Bn	I
菜	En	I
瓜	Bn	I
果	En	I
批	Bn	I
发	Mn	I
部	En	E

1	Bm	O
3	Mm	O
9	Mm	O
9	Mm	O
7	Mm	O
4	Mm	O
0	Mm	O
1	Mm	O
1	Mm	O
9	Mm	O
2	Em	O

阿	Bnz	O
维	Mnz	O
菌	Mnz	O
素	Enz	O
、	Sw	O
氧	Sn	O
乐	Bn	O
果	En	O
、	Sw	O
克	Sm	O
百	Bn	O
威	En	O
、	Sw	O
氯	Bnz	O
氰	Enz	O
菊	Bn	O
酯	En	O
和	Sc	O
高	Ba	O
效	Ea	O
氯	Bnz	O
氰	Enz	O
菊	Bn	O
酯	En	O
、	Sw	O
乐	Sa	O

合	Bn	O
格	En	O

/	Sw	O

3	Bm	O
4	Em	O

S	Beng	O
P	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
5	Meng	O
4	Meng	O
4	Eeng	O

韭	Bn	O
菜	En	O

N	Beng	O
C	Meng	O
P	Meng	O
6	Meng	O
3	Meng	O
2	Meng	O
2	Meng	O
0	Meng	O
0	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
3	Meng	O
9	Meng	O
1	Eeng	O

门	Bn	B
源	En	I
县	Szg	I
东	Bns	I
川	Ens	I
占	Sv	I
花	Sv	I
蔬	Bn	I
菜	En	I
瓜	Bn	I
果	En	I
批	Bn	I
发	Mn	I
部	En	E

1	Bm	O
3	Mm	O
9	Mm	O
9	Mm	O
7	Mm	O
4	Mm	O
0	Mm	O
1	Mm	O
1	Mm	O
9	Mm	O
2	Em	O

腐	Ba	O
霉	Ea	O
利	Sn	O
、	Sw	O
毒	Bn	O
死	En	O
蜱	Sg	O
、	Sw	O
氧	Sn	O
乐	Bn	O
果	En	O
、	Sw	O
多	Bn	O
菌	Mn	O
灵	En	O
、	Sw	O
克	Sm	O
百	Bn	O
威	En	O
、	Sw	O
氯	Bnz	O
氰	Enz	O
菊	Bn	O
酯	En	O
和	Sc	O
高	Ba	O
效	Ea	O
氯	Bnz	O
氰	Enz	O
菊	Bn	O
酯	En	O
、	Sw	O
甲	Sn	O
拌	Sv	O
磷	Sn	O
、	Sw	O
甲	Bnz	O
胺	Mnz	O
磷	Enz	O

合	Bn	O
格	En	O

/	Sw	O

3	Bm	O
5	Em	O

S	Beng	O
P	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
5	Meng	O
4	Meng	O
5	Eeng	O

鸡	Bn	O
蛋	En	O

N	Beng	O
C	Meng	O
P	Meng	O
6	Meng	O
3	Meng	O
2	Meng	O
2	Meng	O
0	Meng	O
0	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
3	Meng	O
9	Meng	O
2	Eeng	O

门	Bn	B
源	En	I
县	Szg	I
东	Bns	I
川	Ens	I
占	Sv	I
花	Sv	I
蔬	Bn	I
菜	En	I
瓜	Bn	I
果	En	I
批	Bn	I
发	Mn	I
部	En	E

1	Bm	O
3	Mm	O
9	Mm	O
9	Mm	O
7	Mm	O
4	Mm	O
0	Mm	O
1	Mm	O
1	Mm	O
9	Mm	O
2	Em	O

铅	Sn	O
、	Sw	O
总	Sb	O
砷	Sn	O
、	Sw	O
总	Sb	O
汞	Sn	O
、	Sw	O
七	Bnz	O
氯	Enz	O
、	Sw	O
艾	Bnr	O
氏	Enr	O
剂	Sng	O
、	Sw	O
狄	Bnr	O
氏	Enr	O
剂	Sng	O

合	Bn	O
格	En	O

/	Sw	O

3	Bm	O
6	Em	O

S	Beng	O
P	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
5	Meng	O
4	Meng	O
6	Eeng	O

油	Bn	O
麦	En	O
菜	Sn	O

N	Beng	O
C	Meng	O
P	Meng	O
6	Meng	O
3	Meng	O
2	Meng	O
2	Meng	O
0	Meng	O
0	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
3	Meng	O
9	Meng	O
3	Eeng	O

门	Bn	B
源	En	I
县	Szg	I
东	Bns	I
川	Ens	I
占	Sv	I
花	Sv	I
蔬	Bn	I
菜	En	I
瓜	Bn	I
果	En	I
批	Bn	I
发	Mn	I
部	En	E

1	Bm	O
3	Mm	O
9	Mm	O
9	Mm	O
7	Mm	O
4	Mm	O
0	Mm	O
1	Mm	O
1	Mm	O
9	Mm	O
2	Em	O

阿	Bnz	O
维	Mnz	O
菌	Mnz	O
素	Enz	O
、	Sw	O
氧	Sn	O
乐	Bn	O
果	En	O
、	Sw	O
毒	Bn	O
死	En	O
蜱	Sg	O
、	Sw	O
克	Sm	O
百	Bn	O
威	En	O
、	Sw	O
对	Bnz	O
硫	Mnz	O
磷	Enz	O

合	Bn	O
格	En	O

/	Sw	O

3	Bm	O
7	Em	O

S	Beng	O
P	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
5	Meng	O
4	Meng	O
7	Eeng	O

虾	Sn	O
（	Sw	O
生	Svn	O

N	Beng	O
C	Meng	O
P	Meng	O
6	Meng	O
3	Meng	O
2	Meng	O
2	Meng	O
0	Meng	O
0	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
3	Meng	O
9	Meng	O
4	Eeng	O

门	Bn	B
源	En	I
县	Szg	I
东	Bns	I
川	Ens	I
镇	Bns	I
海	Ens	I
庆	Svg	I
肉	Sn	I
部	Sn	E

1	Bm	O
3	Mm	O
6	Mm	O
3	Mm	O
9	Mm	O
7	Mm	O
0	Mm	O
1	Mm	O
1	Mm	O
6	Mm	O
6	Em	O

氯	Bn	O
霉	Mn	O
素	En	O
、	Sw	O
孔	Bnr	O
雀	Mnr	O
石	Enr	O
绿	Sa	O
、	Sw	O
3	Sw	O
-	Sw	O
氨	Bn	O
基	En	O
-	Sw	O
2	Sw	O
-	Sw	O
噁	Sy	O
唑	Sw	O
酮	Sg	O
(	Sw	O
A	Beng	O
O	Meng	O
Z	Eeng	O
)	Sw	O
、	Sw	O
5	Sw	O
-	Sw	O
吗	Bn	O
啉	En	O
甲	Bnz	O
基	Enz	O
-	Sw	O
3	Sw	O
-	Sw	O
氨	Bn	O
基	En	O
-	Sw	O
2	Sw	O
-	Sw	O
噁	Sy	O
唑	Sw	O
烷	Bn	O
基	En	O
酮	Sg	O
(	Sw	O
A	Beng	O
M	Meng	O
O	Meng	O
Z	Eeng	O
)	Sw	O
、	Sw	O
1	Sw	O
-	Sw	O
氨	Bn	O
基	En	O
-	Sw	O
乙	Bnz	O
内	Mnz	O
酰	Mnz	O
脲	Enz	O
(	Sw	O
A	Beng	O
H	Meng	O
D	Eeng	O
)	Sw	O
、	Sw	O
氨	Bnz	O
基	Mnz	O
脲	Enz	O
(	Sw	O
S	Beng	O
E	Meng	O
M	Eeng	O
)	Sw	O

合	Bn	O
格	En	O

/	Sw	O

3	Bm	O
8	Em	O

S	Beng	O
P	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
5	Meng	O
4	Meng	O
8	Eeng	O

鱼	Sn	O
（	Sw	O
生	Svn	O

N	Beng	O
C	Meng	O
P	Meng	O
6	Meng	O
3	Meng	O
2	Meng	O
2	Meng	O
0	Meng	O
0	Meng	O
1	Meng	O
7	Meng	O
0	Meng	O
7	Meng	O
0	Meng	O
3	Meng	O
9	Meng	O
5	Eeng	O

门	Bn	B
源	En	I
县	Szg	I
东	Bns	I
川	Ens	I
镇	Bns	I
海	Ens	I
庆	Svg	I
肉	Sn	I
部	Sn	E

1	Bm	O
3	Mm	O
6	Mm	O
3	Mm	O
9	Mm	O
7	Mm	O
0	Mm	O
1	Mm	O
1	Mm	O
6	Mm	O
6	Em	O

恩	Bnrt	O
诺	Enrt	O
沙	Bnr	O
星	Enr	O
、	Sw	O
氯	Bn	O
霉	Mn	O
素	En	O
、	Sw	O
孔	Bnr	O
雀	Mnr	O
石	Enr	O
绿	Sa	O
、	Sw	O
3	Sw	O
-	Sw	O
氨	Bn	O
基	En	O
-	Sw	O
2	Sw	O
