湖	Bns	B
9	Em	O

1	Bm	O
.	Mm	O
0	Mm	O
2	Em	O

3	Bm	O
4	Em	O

其	Br	O
他	Er	O

5	Sw	O

0	Sw	O

0	Sw	O

合	Sv	O

计	Sn	O

合	Sv	O

计	Sn	O

1	Bm	O
1	Mm	O
8	Mm	O
7	Mm	O
8	Em	O

5	Bm	O
1	Mm	O
4	Em	O

4	Bm	O
.	Mm	O
3	Mm	O
3	Em	O

