江	Bns
，	Sw
或	Bc
者	Ec
包	Bl
装	Ml
容	Ml
器	El
清	Bv
洗	Ev
消	Bvn
毒	Evn
不	Sd
到	Bv
位	Ev
；	Sw

还	Bv
有	Ev
可	Bv
能	Ev
与	Sp
产	Bn
品	Mn
包	Mn
装	En
密	Bns
封	Ens
不	Ba
严	Ea
，	Sw
储	Bvn
运	Evn
条	Bn
件	En
控	Bv
制	Ev
不	Bd
当	Ed
等	Su
有	Bvn
关	Evn
。	Sw

G	Beng
B	Eeng
 	Sw

2	Bm
7	Mm
2	Mm
6	Em
-	Sw
2	Bm
0	Mm
0	Mm
5	Em
《	Sw
熟	Bn
肉	Mn
制	Mn
品	En
卫	Bn
生	Mn
标	Mn
准	En
》	Sw
规	Bn
定	En
肴	Sg
肉	Sn
中	Sf
菌	Bn
落	En
总	Bn
数	En
应	Sv
≤	Sw
5	Bm
0	Mm
0	Mm
0	Mm
0	Em
c	Beng
f	Meng
u	Eeng
/	Sw
g	Sw
、	Sw
酱	Sn
卤	Bn
肉	En
中	Sf
菌	Bn
落	En
总	Bn
数	En
应	Sv
≤	Sw
8	Bm
0	Mm
0	Mm
0	Mm
0	Em
c	Beng
f	Meng
u	Eeng
/	Sw
g	Sw
，	Sw
如	Bc
果	Ec
食	Bn
品	En
中	Sf
的	Suj
菌	Bn
落	En
总	Bn
数	En
严	Ba
重	Ea
超	Bv
标	Ev
，	Sw
将	Sd
会	Sv
破	Bv
坏	Ev
食	Bn
品	En
的	Suj
营	Bl
养	Ml
成	Ml
分	El
，	Sw
加	Bv
速	Ev
食	Bn
品	En
的	Suj
腐	Ban
败	Ean
变	Bn
质	En
，	Sw
使	Sv
食	Bn
品	En
失	Bv
去	Ev
食	Bn
用	En
价	Bn
值	En
。	Sw

 	Sw

1	Bm
0	Em
、	Sw
克	Sm
伦	Bnr
特	Mnr
罗	Enr
 	Sw

克	Sm
伦	Bnr
特	Mnr
罗	Enr
是	Sv
β	Sw
-	Sw
兴	Bn
奋	Mn
剂	En
的	Suj
一	Bm
种	Em
，	Sw
可	Sv
促	Bv
进	Ev
动	Bn
物	Mn
体	En
蛋	Bn
白	Mn
质	En
沉	Bn
积	En
、	Sw
促	Bv
进	Ev
脂	Bn
肪	En
分	Bv
解	Ev
抑	Bv
制	Ev
脂	Bn
肪	En
沉	Bn
积	En
，	Sw
能	Sv
提	Bv
高	Ev
胴	Bn
体	En
的	Suj
瘦	Bnz
肉	Mnz
率	Enz
，	Sw
增	Bv
重	Ev
和	Sc
提	Bv
高	Ev
饲	Bn
料	En
转	Bn
化	Mn
率	En
。	Sw

整	Bm
顿	Em
办	Bn
函	En
[	Sw
2	Bm
0	Mm
1	Mm
0	Em
]	Sw
 	Sw

5	Bm
0	Em
 	Sw

号	Sm
《	Sw
关	Bp
于	Ep
印	Bnz
发	Enz
食	Bn
品	En
中	Sf
可	Bv
能	Ev
违	Bvn
法	Evn
添	Bv
加	Ev
的	Suj
非	Sh
食	Bn
用	En
物	Bn
质	En
和	Sc
易	Sa
滥	Bv
用	Ev
的	Suj
食	Bn
品	En
添	Bn
加	Mn
剂	En
名	Bn
单	En
（	Sw
第	Bm
四	Mm
批	Em
）	Sw
的	Suj
通	Bv
知	Ev
》	Sw
规	Bn
定	En
，	Sw
克	Sm
伦	Bnr
特	Mnr
罗	Enr
不	Bv
得	Ev
在	Sp
猪	Bn
肉	En
、	Sw
牛	Bnr
羊	Mnr
肉	Enr
及	Sc
肝	Bn
脏	En
等	Su
使	Bv
用	Ev
。	Sw

长	Bd
期	Ed
食	Bn
用	En
残	Bv
留	Ev
克	Sm
伦	Bnr
特	Mnr
罗	Enr
的	Suj
动	Bn
物	Mn
性	En
食	Bn
品	En
，	Sw
有	Sv
可	Bv
能	Ev
引	Bv
起	Ev
人	Bn
体	En
四	Bn
肢	En
、	Sw
面	Sn
、	Sw
颈	Bn
部	En
骨	Bn
骼	Mn
肌	En
震	Bv
颤	Ev
，	Sw
内	Bn
分	Mn
泌	En
紊	Ba
乱	Ea
。	Sw

 	Sw

1	Bm
1	Em
、	Sw
莱	Bnrt
克	Enrt
多	Bnz
巴	Mnz
胺	Enz
 	Sw

莱	Bnrt
克	Enrt
多	Bnz
巴	Mnz
胺	Enz
是	Sv
一	Bm
种	Em
人	Bl
工	Ml
合	Ml
成	El
的	Suj
β	Sw
-	Sw
肾	Bl
上	Ml
腺	El
受	Bn
体	En
激	Bn
动	Mn
剂	En
（	Sw
俗	Bv
称	Ev
β	Sw
-	Sw
兴	Bn
奋	Mn
剂	En
）	Sw
类	Bn
化	Mn
合	Mn
物	En
，	Sw
属	Bv
于	Ev
第	Bm
二	Mm
代	Em
瘦	Bnz
肉	Mnz
精	Enz
。	Sw

整	Bm
顿	Em
办	Bn
函	En
[	Sw
2	Bm
0	Mm
1	Mm
0	Em
]	Sw
 	Sw

5	Bm
0	Em
 	Sw

号	Sm
《	Sw
关	Bp
于	Ep
印	Bnz
发	Enz
食	Bn
品	En
中	Sf
可	Bv
能	Ev
违	Bvn
法	Evn
添	Bv
加	Ev
的	Suj
非	Sh
食	Bn
用	En
物	Bn
质	En
和	Sc
易	Sa
滥	Bv
用	Ev
的	Suj
食	Bn
品	En
添	Bn
加	Mn
剂	En
名	Bn
单	En
（	Sw
第	Bm
四	Mm
批	Em
）	Sw
的	Suj
通	Bv
知	Ev
》	Sw
规	Bn
定	En
，	Sw
克	Sm
伦	Bnr
特	Mnr
罗	Enr
不	Bv
得	Ev
在	Sp
猪	Bn
肉	En
、	Sw
牛	Bnr
羊	Mnr
肉	Enr
及	Sc
肝	Bn
脏	En
等	Su
使	Bv
用	Ev
。	Sw

过	Bn
量	En
摄	Bv
入	Ev
莱	Bnrt
克	Enrt
多	Bnz
巴	Mnz
胺	Enz
，	Sw
人	Sn
体	Bn
会	En
出	Bv
现	Ev
不	Ba
同	Ea
程	Bn
度	En
的	Suj
中	Bnz
毒	Enz
反	Bvn
应	Evn
，	Sw
其	Sr
症	Bn
状	En
与	Sp
动	Bn
物	En
中	Bnz
毒	Enz
症	Bn
状	En
相	Bv
似	Ev
，	Sw
表	Bv
现	Ev
为	Sp
肌	Bn
肉	En
震	Bv
颤	Ev
、	Sw
四	Bn
肢	En
麻	Bv
痹	Ev
、	Sw
心	Bn
动	Mn
过	Mn
速	En
、	Sw
心	Bi
律	Mi
失	Mi
常	Ei
、	Sw
腹	Bn
痛	En
、	Sw
肌	Bn
肉	En
疼	Bn
痛	En
、	Sw
恶	Bn
心	En
眩	Bv
晕	Ev
等	Su
症	Bn
状	En
，	Sw
重	Bn
者	En
可	Sv
引	Bv
发	Ev
高	Bn
血	Mn
压	En
、	Sw
心	Bn
脏	Mn
病	En
甚	Bd
至	Ed
死	Bv
亡	Ev
。	Sw

 	Sw

以	Bf
上	Ef
产	Bn
品	En
抽	Bv
检	Ev
信	Bn
息	En
可	Sv
在	Sp
江	Bns
苏	Mns
省	Ens
食	Bn
品	En
药	Bnt
品	Mnt
监	Mnt
督	Mnt
管	Mnt
理	Mnt
局	Ent
网	Bn
站	En
上	Sf
（	Sw
h	Beng
t	Meng
t	Meng
p	Eeng
:	Sw
/	Sw
/	Sw
w	Beng
w	Meng
w	Eeng
.	Sm
j	Beng
s	Meng
f	Meng
d	Meng
a	Eeng
.	Sm
g	Beng
o	Meng
v	Eeng
.	Sm
c	Beng
n	Eeng
/	Sw
z	Beng
t	Meng
z	Meng
l	Eeng
/	Sw
z	Beng
x	Meng
z	Meng
t	Eeng
/	Sw
s	Beng
p	Meng
c	Meng
y	Meng
c	Meng
j	Meng
x	Meng
x	Eeng
/	Sw
）	Sw
进	Bv
行	Ev
查	Bv
询	Ev
。	Sw

针	Bp
对	Ep
不	Sd
合	Bn
格	En
产	Bn
品	En
省	Bn
局	En
已	Sd
要	Bv
求	Ev
各	Br
市	Er
县	Bb
级	Eb
局	Sn
依	Bn
法	En
依	Sv
规	Sn
进	Bv
行	Ev
查	Bv
处	Ev
。	Sw

 	Sw

特	Bd
此	Ed
公	Bn
告	En


